"","ensembl_gene_id","rnorvegicus_homolog_ensembl_gene"
"26130","ENSMUSG00000095615","ENSRNOG00000061260"
"26131","ENSMUSG00000095616","ENSRNOG00000055311"
"26134","ENSMUSG00000080352","ENSRNOG00000057316"
"26136","ENSMUSG00000080358","ENSRNOG00000055883"
"26140","ENSMUSG00000084442","ENSRNOG00000054503"
"26144","ENSMUSG00000084448","ENSRNOG00000058917"
"26148","ENSMUSG00000065215","ENSRNOG00000061501"
"26176","ENSMUSG00000087728","ENSRNOG00000061353"
"26177","ENSMUSG00000087726","ENSRNOG00000059958"
"26178","ENSMUSG00000087724","ENSRNOG00000055514"
"26179","ENSMUSG00000087722","ENSRNOG00000056379"
"26192","ENSMUSG00000077354","ENSRNOG00000055516"
"26193","ENSMUSG00000089512","ENSRNOG00000056779"
"26194","ENSMUSG00000077356","ENSRNOG00000058528"
"26200","ENSMUSG00000077358","ENSRNOG00000051367"
"26201","ENSMUSG00000095791","ENSRNOG00000059570"
"26205","ENSMUSG00000095796","ENSRNOG00000052126"
"26212","ENSMUSG00000088392","ENSRNOG00000052098"
"26221","ENSMUSG00000065820","ENSRNOG00000059976"
"26224","ENSMUSG00000088367","ENSRNOG00000057723"
"26228","ENSMUSG00000065006","ENSRNOG00000059543"
"26229","ENSMUSG00000065004","ENSRNOG00000051715"
"26230","ENSMUSG00000070236","ENSRNOG00000057151"
"26231","ENSMUSG00000064755","ENSRNOG00000056926"
"26232","ENSMUSG00000070235","ENSRNOG00000056922"
"26233","ENSMUSG00000064751","ENSRNOG00000061361"
"26280","ENSMUSG00000077749","ENSRNOG00000052404"
"26281","ENSMUSG00000077745","ENSRNOG00000059410"
"26283","ENSMUSG00000077741","ENSRNOG00000053892"
"26285","ENSMUSG00000088150","ENSRNOG00000052727"
"26287","ENSMUSG00000088153","ENSRNOG00000052826"
"26288","ENSMUSG00000088155","ENSRNOG00000053499"
"26289","ENSMUSG00000088156","ENSRNOG00000058499"
"26292","ENSMUSG00000088849","ENSRNOG00000057793"
"26296","ENSMUSG00000088843","ENSRNOG00000061681"
"26299","ENSMUSG00000089498","ENSRNOG00000052382"
"26303","ENSMUSG00000089491","ENSRNOG00000059915"
"26311","ENSMUSG00000088450","ENSRNOG00000054232"
"26312","ENSMUSG00000088454","ENSRNOG00000057735"
"26313","ENSMUSG00000088456","ENSRNOG00000053066"
"26324","ENSMUSG00000104700","ENSRNOG00000057268"
"26330","ENSMUSG00000077426","ENSRNOG00000060157"
"26342","ENSMUSG00000088250","ENSRNOG00000056829"
"26343","ENSMUSG00000077285","ENSRNOG00000057970"
"26346","ENSMUSG00000065637","ENSRNOG00000053462"
"26349","ENSMUSG00000092753","ENSRNOG00000041764"
"26350","ENSMUSG00000089127","ENSRNOG00000060712"
"26351","ENSMUSG00000089124","ENSRNOG00000053255"
"26353","ENSMUSG00000089123","ENSRNOG00000055199"
"26355","ENSMUSG00000089128","ENSRNOG00000053584"
"26356","ENSMUSG00000089129","ENSRNOG00000051406"
"26357","ENSMUSG00000088297","ENSRNOG00000057479"
"26359","ENSMUSG00000088295","ENSRNOG00000054252"
"26362","ENSMUSG00000104857","ENSRNOG00000059209"
"26363","ENSMUSG00000105120","ENSRNOG00000055592"
"26365","ENSMUSG00000088298","ENSRNOG00000061451"
"26366","ENSMUSG00000077468","ENSRNOG00000053707"
"26370","ENSMUSG00000077461","ENSRNOG00000059152"
"26373","ENSMUSG00000077464","ENSRNOG00000060327"
"26377","ENSMUSG00000084478","ENSRNOG00000055601"
"26379","ENSMUSG00000093992","ENSRNOG00000054623"
"26391","ENSMUSG00000095971","ENSRNOG00000053611"
"26393","ENSMUSG00000064527","ENSRNOG00000061074"
"26394","ENSMUSG00000064526","ENSRNOG00000057669"
"26401","ENSMUSG00000064389","ENSRNOG00000056745"
"26404","ENSMUSG00000064380","ENSRNOG00000052439"
"26414","ENSMUSG00000064612","ENSRNOG00000052156"
"26415","ENSMUSG00000105060","ENSRNOG00000052356"
"26421","ENSMUSG00000087719","ENSRNOG00000054444"
"26432","ENSMUSG00000080413","ENSRNOG00000059070"
"26435","ENSMUSG00000084567","ENSRNOG00000054337"
"26438","ENSMUSG00000084569","ENSRNOG00000054239"
"26444","ENSMUSG00000088646","ENSRNOG00000044170"
"26445","ENSMUSG00000088647","ENSRNOG00000059528"
"26451","ENSMUSG00000088504","ENSRNOG00000054211"
"26453","ENSMUSG00000065089","ENSRNOG00000057075"
"26455","ENSMUSG00000065086","ENSRNOG00000051692"
"26465","ENSMUSG00000093999","ENSRNOG00000060318"
"26524","ENSMUSG00000010529","ENSRNOG00000033736"
"26926","ENSMUSG00000099252","ENSRNOG00000051617"
"26927","ENSMUSG00000099255","ENSRNOG00000056307"
"26963","ENSMUSG00000098788","ENSRNOG00000051877"
"26964","ENSMUSG00000088139","ENSRNOG00000054500"
"26965","ENSMUSG00000098953","ENSRNOG00000057577"
"26969","ENSMUSG00000098589","ENSRNOG00000056387"
"26970","ENSMUSG00000099012","ENSRNOG00000045106"
"26980","ENSMUSG00000099192","ENSRNOG00000059318"
"26988","ENSMUSG00000098850","ENSRNOG00000058794"
"26990","ENSMUSG00000098853","ENSRNOG00000056966"
"26995","ENSMUSG00000098792","ENSRNOG00000054130"
"27000","ENSMUSG00000099112","ENSRNOG00000055213"
"27003","ENSMUSG00000098405","ENSRNOG00000054098"
"27024","ENSMUSG00000099024","ENSRNOG00000053940"
"27043","ENSMUSG00000098385","ENSRNOG00000060368"
"27050","ENSMUSG00000088839","ENSRNOG00000057632"
"27077","ENSMUSG00000099246","ENSRNOG00000061653"
"27133","ENSMUSG00000087941","ENSRNOG00000054386"
"27145","ENSMUSG00000099000","ENSRNOG00000061086"
"27150","ENSMUSG00000098652","ENSRNOG00000046335"
"27152","ENSMUSG00000098657","ENSRNOG00000054183"
"27188","ENSMUSG00000099312","ENSRNOG00000055225"
"27197","ENSMUSG00000098916","ENSRNOG00000046017"
"27227","ENSMUSG00000098688","ENSRNOG00000060013"
"27243","ENSMUSG00000098478","ENSRNOG00000057491"
"27247","ENSMUSG00000098956","ENSRNOG00000057835"
"27281","ENSMUSG00000087805","ENSRNOG00000058041"
"27290","ENSMUSG00000099208","ENSRNOG00000053483"
"27293","ENSMUSG00000099204","ENSRNOG00000054525"
"27294","ENSMUSG00000099205","ENSRNOG00000059310"
"27296","ENSMUSG00000098312","ENSRNOG00000055360"
"27299","ENSMUSG00000098877","ENSRNOG00000054827"
"27302","ENSMUSG00000098878","ENSRNOG00000060177"
"27306","ENSMUSG00000098629","ENSRNOG00000056472"
"27308","ENSMUSG00000098628","ENSRNOG00000057786"
"27311","ENSMUSG00000099179","ENSRNOG00000056950"
"27315","ENSMUSG00000099280","ENSRNOG00000056323"
"27316","ENSMUSG00000098423","ENSRNOG00000053704"
"27370","ENSMUSG00000098781","ENSRNOG00000053325"
"28196","ENSMUSG00000100679","ENSRNOG00000042961"
"28618","ENSMUSG00000100962","ENSRNOG00000046421"
"29286","ENSMUSG00000114865","ENSRNOG00000057827"
"29298","ENSMUSG00000108976","ENSRNOG00000043071"
"29348","ENSMUSG00000000594","ENSRNOG00000052219"
"29469","ENSMUSG00000108398","ENSRNOG00000054734"
"29603","ENSMUSG00000110477","ENSRNOG00000042749"
"30715","ENSMUSG00000095026","ENSRNOG00000043249"
"31447","ENSMUSG00000109179","ENSRNOG00000033520"
"31703","ENSMUSG00000112653","ENSRNOG00000042383"
"33279","ENSMUSG00000104158","ENSRNOG00000038076"
"33374","ENSMUSG00000062791","ENSRNOG00000031294"
"33759","ENSMUSG00000115378","ENSRNOG00000054699"
"33816","ENSMUSG00000110324","ENSRNOG00000020131"
"35353","ENSMUSG00000105204","ENSRNOG00000043377"
"35900","ENSMUSG00000106439","ENSRNOG00000056902"
"35924","ENSMUSG00000106151","ENSRNOG00000051839"
"36046","ENSMUSG00000105169","ENSRNOG00000061202"
"36060","ENSMUSG00000104879","ENSRNOG00000058558"
"37023","ENSMUSG00000056885","ENSRNOG00000030626"
"37052","ENSMUSG00000109859","ENSRNOG00000028955"
"37055","ENSMUSG00000110086","ENSRNOG00000058482"
"37264","ENSMUSG00000110277","ENSRNOG00000056374"
"37289","ENSMUSG00000051396","ENSRNOG00000015196"
"37798","ENSMUSG00000088068","ENSRNOG00000061931"
"37801","ENSMUSG00000106561","ENSRNOG00000057319"
"37814","ENSMUSG00000105398","ENSRNOG00000048912"
"38089","ENSMUSG00000109482","ENSRNOG00000025648"
"38334","ENSMUSG00000045010","ENSRNOG00000025211"
"39055","ENSMUSG00000086056","ENSRNOG00000043014"
"39072","ENSMUSG00000051081","ENSRNOG00000038499"
"39713","ENSMUSG00000068113","ENSRNOG00000057692"
"39882","ENSMUSG00000044624","ENSRNOG00000025799"
"40211","ENSMUSG00000071633","ENSRNOG00000036622"
"40500","ENSMUSG00000088022","ENSRNOG00000052608"
"40830","ENSMUSG00000117477","ENSRNOG00000050032"
"40849","ENSMUSG00000088187","ENSRNOG00000056732"
"41208","ENSMUSG00000093245","ENSRNOG00000057249"
"41209","ENSMUSG00000064938","ENSRNOG00000059872"
"41212","ENSMUSG00000065160","ENSRNOG00000040595"
"41312","ENSMUSG00000073010","ENSRNOG00000029090"
"41326","ENSMUSG00000053868","ENSRNOG00000038917"
"41468","ENSMUSG00000047227","ENSRNOG00000023230"
"41484","ENSMUSG00000094504","ENSRNOG00000039296"
"41718","ENSMUSG00000060565","ENSRNOG00000027370"
"41733","ENSMUSG00000042293","ENSRNOG00000005918"
"41849","ENSMUSG00000070577","ENSRNOG00000023452"
"41862","ENSMUSG00000095845","ENSRNOG00000023899"
"41881","ENSMUSG00000107252","ENSRNOG00000055413"
"42175","ENSMUSG00000078611","ENSRNOG00000030818"
"42299","ENSMUSG00000071165","ENSRNOG00000038130"
"42448","ENSMUSG00000079642","ENSRNOG00000056845"
"42567","ENSMUSG00000048621","ENSRNOG00000023005"
"42824","ENSMUSG00000072722","ENSRNOG00000030948"
"42839","ENSMUSG00000079263","ENSRNOG00000010388"
"42868","ENSMUSG00000099418","ENSRNOG00000033423"
"42954","ENSMUSG00000079579","ENSRNOG00000046097"
"43114","ENSMUSG00000079583","ENSRNOG00000037399"
"43287","ENSMUSG00000091204","ENSRNOG00000050100"
"43316","ENSMUSG00000073006","ENSRNOG00000037827"
"43612","ENSMUSG00000090667","ENSRNOG00000049804"
"43786","ENSMUSG00000033036","ENSRNOG00000008489"
"44419","ENSMUSG00000091844","ENSRNOG00000023089"
"44981","ENSMUSG00000034239","ENSRNOG00000042833"
"45641","ENSMUSG00000071858","ENSRNOG00000039260"
"45753","ENSMUSG00000071691","ENSRNOG00000026579"
"45867","ENSMUSG00000047361","ENSRNOG00000022723"
"45892","ENSMUSG00000078783","ENSRNOG00000053292"
"46019","ENSMUSG00000097050","ENSRNOG00000062295"
"46065","ENSMUSG00000056509","ENSRNOG00000058252"
"46066","ENSMUSG00000001157","ENSRNOG00000017838"
"46067","ENSMUSG00000038372","ENSRNOG00000017605"
"46068","ENSMUSG00000028901","ENSRNOG00000010910"
"46069","ENSMUSG00000038705","ENSRNOG00000013339"
"46070","ENSMUSG00000062014","ENSRNOG00000047250"
"46071","ENSMUSG00000060791","ENSRNOG00000019838"
"46073","ENSMUSG00000036246","ENSRNOG00000027257"
"46076","ENSMUSG00000068428","ENSRNOG00000038505"
"46077","ENSMUSG00000006715","ENSRNOG00000018782"
"46078","ENSMUSG00000033021","ENSRNOG00000019946"
"46079","ENSMUSG00000070284","ENSRNOG00000037229"
"46080","ENSMUSG00000000253","ENSRNOG00000017250"
"46081","ENSMUSG00000002326","ENSRNOG00000020216"
"46082","ENSMUSG00000027823","ENSRNOG00000051151"
"46083","ENSMUSG00000034781","ENSRNOG00000005446"
"46084","ENSMUSG00000000149","ENSRNOG00000001235"
"46085","ENSMUSG00000020611","ENSRNOG00000036745"
"46086","ENSMUSG00000024697","ENSRNOG00000014840"
"46087","ENSMUSG00000034792","ENSRNOG00000005378"
"46088","ENSMUSG00000057614","ENSRNOG00000057096"
"46089","ENSMUSG00000032562","ENSRNOG00000016592"
"46090","ENSMUSG00000000001","ENSRNOG00000019465"
"46091","ENSMUSG00000024524","ENSRNOG00000010440"
"46093","ENSMUSG00000024639","ENSRNOG00000014183"
"46094","ENSMUSG00000027523","ENSRNOG00000047374"
"46096","ENSMUSG00000034837","ENSRNOG00000017589"
"46097","ENSMUSG00000009108","ENSRNOG00000019296"
"46098","ENSMUSG00000028777","ENSRNOG00000005268"
"46099","ENSMUSG00000040009","ENSRNOG00000001313"
"46100","ENSMUSG00000029064","ENSRNOG00000016638"
"46103","ENSMUSG00000000884","ENSRNOG00000001891"
"46104","ENSMUSG00000029713","ENSRNOG00000001409"
"46105","ENSMUSG00000023439","ENSRNOG00000015541"
"46106","ENSMUSG00000027669","ENSRNOG00000011070"
"46107","ENSMUSG00000032192","ENSRNOG00000047799"
"46108","ENSMUSG00000028479","ENSRNOG00000014365"
"46109","ENSMUSG00000038607","ENSRNOG00000025040"
"46112","ENSMUSG00000036402","ENSRNOG00000050231"
"46113","ENSMUSG00000025739","ENSRNOG00000039350"
"46114","ENSMUSG00000043004","ENSRNOG00000048980"
"46116","ENSMUSG00000071658","ENSRNOG00000019570"
"46117","ENSMUSG00000021303","ENSRNOG00000047080"
"46118","ENSMUSG00000068523","ENSRNOG00000038205"
"46120","ENSMUSG00000048240","ENSRNOG00000019857"
"46121","ENSMUSG00000063594","ENSRNOG00000016701"
"46122","ENSMUSG00000029663","ENSRNOG00000010546"
"46123","ENSMUSG00000038811","ENSRNOG00000006108"
"46124","ENSMUSG00000024429","ENSRNOG00000000798"
"46125","ENSMUSG00000028869","ENSRNOG00000009430"
"46126","ENSMUSG00000042354","ENSRNOG00000028461"
"46127","ENSMUSG00000025266","ENSRNOG00000002509"
"46130","ENSMUSG00000031985","ENSRNOG00000019205"
"46131","ENSMUSG00000052102","ENSRNOG00000047213"
"46132","ENSMUSG00000029209","ENSRNOG00000002177"
"46133","ENSMUSG00000037722","ENSRNOG00000008641"
"46134","ENSMUSG00000035311","ENSRNOG00000005228"
"46135","ENSMUSG00000035521","ENSRNOG00000024455"
"46136","ENSMUSG00000015812","ENSRNOG00000013441"
"46137","ENSMUSG00000029255","ENSRNOG00000002011"
"46140","ENSMUSG00000026754","ENSRNOG00000014493"
"46141","ENSMUSG00000002546","ENSRNOG00000011884"
"46144","ENSMUSG00000038708","ENSRNOG00000029910"
"46145","ENSMUSG00000021192","ENSRNOG00000007699"
"46146","ENSMUSG00000015341","ENSRNOG00000017956"
"46147","ENSMUSG00000042532","ENSRNOG00000015051"
"46148","ENSMUSG00000034243","ENSRNOG00000030314"
"46149","ENSMUSG00000034109","ENSRNOG00000024213"
"46150","ENSMUSG00000021556","ENSRNOG00000018400"
"46151","ENSMUSG00000022200","ENSRNOG00000012186"
"46152","ENSMUSG00000046519","ENSRNOG00000047620"
"46154","ENSMUSG00000030245","ENSRNOG00000058386"
"46155","ENSMUSG00000054199","ENSRNOG00000020297"
"46157","ENSMUSG00000019861","ENSRNOG00000000408"
"46158","ENSMUSG00000040124","ENSRNOG00000003861"
"46159","ENSMUSG00000032513","ENSRNOG00000018047"
"46162","ENSMUSG00000010392","ENSRNOG00000003971"
"46163","ENSMUSG00000020946","ENSRNOG00000003506"
"46164","ENSMUSG00000025190","ENSRNOG00000016356"
"46165","ENSMUSG00000039720","ENSRNOG00000038473"
"46166","ENSMUSG00000031672","ENSRNOG00000011782"
"46168","ENSMUSG00000050675","ENSRNOG00000025959"
"46169","ENSMUSG00000050761","ENSRNOG00000046981"
"46170","ENSMUSG00000030954","ENSRNOG00000015716"
"46173","ENSMUSG00000078810","ENSRNOG00000047204"
"46174","ENSMUSG00000030054","ENSRNOG00000010015"
"46175","ENSMUSG00000000544","ENSRNOG00000003740"
"46176","ENSMUSG00000022561","ENSRNOG00000029280"
"46177","ENSMUSG00000022008","ENSRNOG00000001037"
"46178","ENSMUSG00000024978","ENSRNOG00000015124"
"46179","ENSMUSG00000092417","ENSRNOG00000000848"
"46180","ENSMUSG00000046338","ENSRNOG00000013906"
"46181","ENSMUSG00000029314","ENSRNOG00000002159"
"46182","ENSMUSG00000031545","ENSRNOG00000018077"
"46183","ENSMUSG00000063808","ENSRNOG00000011584"
"46184","ENSMUSG00000050668","ENSRNOG00000025317"
"46185","ENSMUSG00000039210","ENSRNOG00000002512"
"46186","ENSMUSG00000021254","ENSRNOG00000010227"
"46187","ENSMUSG00000028850","ENSRNOG00000007097"
"46188","ENSMUSG00000028069","ENSRNOG00000018969"
"46189","ENSMUSG00000034621","ENSRNOG00000021044"
"46190","ENSMUSG00000064272","ENSRNOG00000058260"
"46191","ENSMUSG00000032745","ENSRNOG00000013002"
"46192","ENSMUSG00000034042","ENSRNOG00000037595"
"46193","ENSMUSG00000034220","ENSRNOG00000049437"
"46194","ENSMUSG00000029510","ENSRNOG00000001367"
"46195","ENSMUSG00000055653","ENSRNOG00000060179"
"46196","ENSMUSG00000031119","ENSRNOG00000002413"
"46198","ENSMUSG00000058571","ENSRNOG00000046660"
"46199","ENSMUSG00000027346","ENSRNOG00000053201"
"46200","ENSMUSG00000023019","ENSRNOG00000056457"
"46201","ENSMUSG00000050627","ENSRNOG00000026455"
"46202","ENSMUSG00000026827","ENSRNOG00000033824"
"46203","ENSMUSG00000053647","ENSRNOG00000001287"
"46205","ENSMUSG00000024784","ENSRNOG00000021020"
"46206","ENSMUSG00000048982","ENSRNOG00000021885"
"46207","ENSMUSG00000047454","ENSRNOG00000028366"
"46209","ENSMUSG00000036427","ENSRNOG00000023150"
"46210","ENSMUSG00000022579","ENSRNOG00000007475"
"46211","ENSMUSG00000031148","ENSRNOG00000022939"
"46212","ENSMUSG00000021340","ENSRNOG00000017702"
"46213","ENSMUSG00000031517","ENSRNOG00000010731"
"46214","ENSMUSG00000031342","ENSRNOG00000004613"
"46215","ENSMUSG00000064037","ENSRNOG00000004941"
"46216","ENSMUSG00000028848","ENSRNOG00000007083"
"46217","ENSMUSG00000029464","ENSRNOG00000001278"
"46218","ENSMUSG00000029816","ENSRNOG00000008816"
"46219","ENSMUSG00000046856","ENSRNOG00000045532"
"46220","ENSMUSG00000036357","ENSRNOG00000027658"
"46221","ENSMUSG00000000194","ENSRNOG00000023589"
"46222","ENSMUSG00000005823","ENSRNOG00000046128"
"46223","ENSMUSG00000051209","ENSRNOG00000024517"
"46224","ENSMUSG00000041468","ENSRNOG00000039832"
"46226","ENSMUSG00000043398","ENSRNOG00000004499"
"46227","ENSMUSG00000024958","ENSRNOG00000021145"
"46228","ENSMUSG00000021306","ENSRNOG00000002480"
"46230","ENSMUSG00000049092","ENSRNOG00000026328"
"46231","ENSMUSG00000066197","ENSRNOG00000023863"
"46232","ENSMUSG00000053101","ENSRNOG00000059698"
"46234","ENSMUSG00000034677","ENSRNOG00000024446"
"46235","ENSMUSG00000025333","ENSRNOG00000003543"
"46236","ENSMUSG00000044197","ENSRNOG00000001288"
"46237","ENSMUSG00000043441","ENSRNOG00000014793"
"46238","ENSMUSG00000047293","ENSRNOG00000039680"
"46240","ENSMUSG00000042816","ENSRNOG00000027103"
"46241","ENSMUSG00000044724","ENSRNOG00000021912"
"46243","ENSMUSG00000042804","ENSRNOG00000010718"
"46244","ENSMUSG00000041762","ENSRNOG00000018485"
"46245","ENSMUSG00000046961","ENSRNOG00000002797"
"46246","ENSMUSG00000047875","ENSRNOG00000017528"
"46247","ENSMUSG00000045967","ENSRNOG00000024832"
"46248","ENSMUSG00000037661","ENSRNOG00000009487"
"46249","ENSMUSG00000040836","ENSRNOG00000003073"
"46250","ENSMUSG00000038390","ENSRNOG00000016143"
"46251","ENSMUSG00000031210","ENSRNOG00000012995"
"46252","ENSMUSG00000052229","ENSRNOG00000025745"
"46253","ENSMUSG00000050075","ENSRNOG00000025297"
"46254","ENSMUSG00000056679","ENSRNOG00000060137"
"46255","ENSMUSG00000073008","ENSRNOG00000032970"
"46256","ENSMUSG00000040133","ENSRNOG00000005971"
"46257","ENSMUSG00000070337","ENSRNOG00000029245"
"46258","ENSMUSG00000050350","ENSRNOG00000012628"
"46259","ENSMUSG00000022131","ENSRNOG00000009766"
"46260","ENSMUSG00000058396","ENSRNOG00000004311"
"46261","ENSMUSG00000051212","ENSRNOG00000025094"
"46262","ENSMUSG00000032641","ENSRNOG00000007126"
"46264","ENSMUSG00000053164","ENSRNOG00000042269"
"46265","ENSMUSG00000044067","ENSRNOG00000008423"
"46266","ENSMUSG00000052759","ENSRNOG00000008603"
"46267","ENSMUSG00000040125","ENSRNOG00000047057"
"46268","ENSMUSG00000072875","ENSRNOG00000010880"
"46269","ENSMUSG00000049649","ENSRNOG00000009540"
"46271","ENSMUSG00000071311","ENSRNOG00000039255"
"46273","ENSMUSG00000035148","ENSRNOG00000038990"
"46274","ENSMUSG00000040229","ENSRNOG00000039759"
"46275","ENSMUSG00000026271","ENSRNOG00000024030"
"46276","ENSMUSG00000039904","ENSRNOG00000002524"
"46277","ENSMUSG00000026424","ENSRNOG00000006237"
"46278","ENSMUSG00000026343","ENSRNOG00000021586"
"46279","ENSMUSG00000044317","ENSRNOG00000016362"
"46280","ENSMUSG00000041907","ENSRNOG00000016446"
"46281","ENSMUSG00000056380","ENSRNOG00000011335"
"46283","ENSMUSG00000049608","ENSRNOG00000017521"
"46284","ENSMUSG00000046922","ENSRNOG00000049580"
"46285","ENSMUSG00000046793","ENSRNOG00000019738"
"46286","ENSMUSG00000091735","ENSRNOG00000022567"
"46287","ENSMUSG00000040372","ENSRNOG00000007675"
"46288","ENSMUSG00000021886","ENSRNOG00000003806"
"46291","ENSMUSG00000043999","ENSRNOG00000022176"
"46292","ENSMUSG00000047678","ENSRNOG00000039762"
"46293","ENSMUSG00000031932","ENSRNOG00000030318"
"46295","ENSMUSG00000048216","ENSRNOG00000024636"
"46296","ENSMUSG00000051431","ENSRNOG00000013894"
"46297","ENSMUSG00000068696","ENSRNOG00000026953"
"46298","ENSMUSG00000028096","ENSRNOG00000000095"
"46299","ENSMUSG00000043384","ENSRNOG00000049985"
"46300","ENSMUSG00000072966","ENSRNOG00000037658"
"46301","ENSMUSG00000046733","ENSRNOG00000008412"
"46302","ENSMUSG00000008734","ENSRNOG00000016013"
"46303","ENSMUSG00000051043","ENSRNOG00000003144"
"46304","ENSMUSG00000030205","ENSRNOG00000008439"
"46305","ENSMUSG00000019905","ENSRNOG00000000401"
"46307","ENSMUSG00000071531","ENSRNOG00000055042"
"46308","ENSMUSG00000045441","ENSRNOG00000023657"
"46309","ENSMUSG00000025156","ENSRNOG00000046698"
"46310","ENSMUSG00000023170","ENSRNOG00000016360"
"46311","ENSMUSG00000026930","ENSRNOG00000018666"
"46312","ENSMUSG00000027883","ENSRNOG00000012149"
"46313","ENSMUSG00000034786","ENSRNOG00000000441"
"46314","ENSMUSG00000022546","ENSRNOG00000033915"
"46315","ENSMUSG00000031700","ENSRNOG00000059579"
"46316","ENSMUSG00000063856","ENSRNOG00000048812"
"46317","ENSMUSG00000042808","ENSRNOG00000055672"
"46319","ENSMUSG00000018339","ENSRNOG00000052564"
"46320","ENSMUSG00000075706","ENSRNOG00000013604"
"46323","ENSMUSG00000004344","ENSRNOG00000057180"
"46324","ENSMUSG00000004341","ENSRNOG00000060749"
"46325","ENSMUSG00000028597","ENSRNOG00000009751"
"46326","ENSMUSG00000021760","ENSRNOG00000010461"
"46327","ENSMUSG00000001248","ENSRNOG00000021106"
"46328","ENSMUSG00000040111","ENSRNOG00000053577"
"46329","ENSMUSG00000036292","ENSRNOG00000053406"
"46330","ENSMUSG00000074259","ENSRNOG00000025979"
"46331","ENSMUSG00000001700","ENSRNOG00000015225"
"46332","ENSMUSG00000035900","ENSRNOG00000016968"
"46333","ENSMUSG00000004837","ENSRNOG00000002599"
"46334","ENSMUSG00000042351","ENSRNOG00000018316"
"46335","ENSMUSG00000000531","ENSRNOG00000007346"
"46336","ENSMUSG00000020176","ENSRNOG00000004290"
"46337","ENSMUSG00000026888","ENSRNOG00000052498"
"46338","ENSMUSG00000059923","ENSRNOG00000003990"
"46339","ENSMUSG00000019312","ENSRNOG00000006990"
"46342","ENSMUSG00000036523","ENSRNOG00000024651"
"46343","ENSMUSG00000042942","ENSRNOG00000023492"
"46344","ENSMUSG00000074934","ENSRNOG00000026053"
"46345","ENSMUSG00000050069","ENSRNOG00000003616"
"46346","ENSMUSG00000020656","ENSRNOG00000054989"
"46347","ENSMUSG00000022286","ENSRNOG00000007000"
"46348","ENSMUSG00000037188","ENSRNOG00000029427"
"46349","ENSMUSG00000035637","ENSRNOG00000012794"
"46350","ENSMUSG00000020524","ENSRNOG00000045816"
"46351","ENSMUSG00000033981","ENSRNOG00000054204"
"46352","ENSMUSG00000001986","ENSRNOG00000007682"
"46353","ENSMUSG00000025892","ENSRNOG00000006957"
"46354","ENSMUSG00000041078","ENSRNOG00000055499"
"46355","ENSMUSG00000071424","ENSRNOG00000006174"
"46356","ENSMUSG00000010825","ENSRNOG00000030927"
"46357","ENSMUSG00000036586","ENSRNOG00000001251"
"46358","ENSMUSG00000022935","ENSRNOG00000001575"
"46359","ENSMUSG00000056073","ENSRNOG00000000368"
"46360","ENSMUSG00000001985","ENSRNOG00000008992"
"46361","ENSMUSG00000032017","ENSRNOG00000030910"
"46362","ENSMUSG00000003378","ENSRNOG00000020310"
"46363","ENSMUSG00000026959","ENSRNOG00000011726"
"46365","ENSMUSG00000059003","ENSRNOG00000033942"
"46366","ENSMUSG00000030209","ENSRNOG00000008766"
"46367","ENSMUSG00000020734","ENSRNOG00000003280"
"46368","ENSMUSG00000002771","ENSRNOG00000021063"
"46371","ENSMUSG00000035745","ENSRNOG00000012562"
"46372","ENSMUSG00000022564","ENSRNOG00000029941"
"46373","ENSMUSG00000034813","ENSRNOG00000004013"
"46377","ENSMUSG00000030098","ENSRNOG00000009726"
"46378","ENSMUSG00000031153","ENSRNOG00000009071"
"46379","ENSMUSG00000031450","ENSRNOG00000018430"
"46380","ENSMUSG00000024858","ENSRNOG00000018985"
"46381","ENSMUSG00000042249","ENSRNOG00000059456"
"46382","ENSMUSG00000052783","ENSRNOG00000011847"
"46383","ENSMUSG00000003228","ENSRNOG00000011439"
"46384","ENSMUSG00000074886","ENSRNOG00000014615"
"46385","ENSMUSG00000019828","ENSRNOG00000014290"
"46386","ENSMUSG00000023192","ENSRNOG00000013171"
"46387","ENSMUSG00000003974","ENSRNOG00000005519"
"46389","ENSMUSG00000049583","ENSRNOG00000016429"
"46390","ENSMUSG00000000617","ENSRNOG00000000233"
"46391","ENSMUSG00000056755","ENSRNOG00000005662"
"46392","ENSMUSG00000024211","ENSRNOG00000021468"
"46393","ENSMUSG00000034708","ENSRNOG00000021031"
"46394","ENSMUSG00000024517","ENSRNOG00000016999"
"46395","ENSMUSG00000029198","ENSRNOG00000006593"
"46396","ENSMUSG00000024580","ENSRNOG00000042682"
"46397","ENSMUSG00000031364","ENSRNOG00000004124"
"46398","ENSMUSG00000050105","ENSRNOG00000016491"
"46399","ENSMUSG00000044221","ENSRNOG00000003392"
"46402","ENSMUSG00000053801","ENSRNOG00000021058"
"46403","ENSMUSG00000068082","ENSRNOG00000038891"
"46404","ENSMUSG00000073574","ENSRNOG00000039325"
"46405","ENSMUSG00000039934","ENSRNOG00000028801"
"46406","ENSMUSG00000021095","ENSRNOG00000010605"
"46407","ENSMUSG00000022738","ENSRNOG00000000282"
"46418","ENSMUSG00000022575","ENSRNOG00000007728"
"46419","ENSMUSG00000029821","ENSRNOG00000009970"
"46420","ENSMUSG00000031822","ENSRNOG00000017489"
"46421","ENSMUSG00000030206","ENSRNOG00000008518"
"46424","ENSMUSG00000057177","ENSRNOG00000020417"
